INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Escola Superior de Agricultura &amp;quot;Luiz de Queiroz&amp;quot;,2008,,ATUAL,ATUAL,Engenharia Agronômica,GRADUACAO,"['Estágio Profissionalizante', 'Estágio Supervisionado em Engenharia Rural', 'Estágio Vivencial', 'Máquinas e implementos agrícolas', 'Mecânica e Máquinas Motoras']"
Escola Superior de Agricultura &amp;quot;Luiz de Queiroz&amp;quot;,2008,,ATUAL,ATUAL,Engenharia Florestal,GRADUACAO,"['Estágio Profissionalizante', 'Estágio supervisionado em Engenharia Rural', 'Estágio Vivencial', 'Máquinas e implementos agrícolas', 'Mecânica e máquinas motoras']"
Escola Superior de Agricultura &amp;quot;Luiz de Queiroz&amp;quot;,2008,,ATUAL,ATUAL,Gestão Ambiental,GRADUACAO,['Recursos energéticos e ambiente']
Escola Superior de Agricultura &amp;quot;Luiz de Queiroz&amp;quot;,2009,08,08,08,Máquinas agrícolas,POS-GRADUACAO,['Fluxos de energia em sistemas agrícolas']
Escola Superior de Agricultura &amp;quot;Luiz de Queiroz&amp;quot;,2009,,ATUAL,ATUAL,Ciências Biológicas,GRADUACAO,['Estágio Vivencial']
Escola Superior de Agricultura &amp;quot;Luiz de Queiroz&amp;quot;,2010,,ATUAL,ATUAL,Engenharia Agronômica,GRADUACAO,['Sustentabilidade energética em sistemas agrícolas']
Escola Superior de Agricultura &amp;quot;Luiz de Queiroz&amp;quot;,2010,,ATUAL,ATUAL,Engenharia Florestal,GRADUACAO,['Sustentabilidade energética em sistemas agrícolas']
Escola Superior de Agricultura &amp;quot;Luiz de Queiroz&amp;quot;,2010,,ATUAL,ATUAL,Engenharia de Sistemas Agrícolas,POS-GRADUACAO,['Fluxos de energia em sistemas agrícolas']
Escola Superior de Agricultura &amp;quot;Luiz de Queiroz&amp;quot;,2012,,ATUAL,ATUAL,Engenharia Agronômica,GRADUACAO,['0110113 - Introdução à Engenharia Agronômica']
Escola Superior de Agricultura &amp;quot;Luiz de Queiroz&amp;quot;,2016,07,07,07,Engenharia de Sistemas Agrícolas,POS-GRADUACAO,['Metodologia Científica e Preparação Pedagógica em Engenharia de Sistemas Agrícolas']
