,FULL_NAME,YEAR,A1,A2,B1,B2,B3,B5,C ,XX
0,Maria Carolina da Silva Andrea,2014.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1,Maria Carolina da Silva Andrea,2016.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,Maria Carolina da Silva Andrea,2018.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Maria Carolina da Silva Andrea,2019.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
4,Rafael Cesar Tieppo,2010.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,Rafael Cesar Tieppo,2011.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
6,Rafael Cesar Tieppo,2012.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,Rafael Cesar Tieppo,2013.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,Rafael Cesar Tieppo,2014.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
9,Rafael Cesar Tieppo,2016.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,Rafael Cesar Tieppo,2017.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11,Rafael Cesar Tieppo,2018.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
12,Rafael Cesar Tieppo,2019.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
13,Thiago Libório Romanelli,2010.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
14,Thiago Libório Romanelli,2012.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
15,Thiago Libório Romanelli,2014.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,Thiago Libório Romanelli,2015.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
17,Thiago Libório Romanelli,2016.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
18,Thiago Libório Romanelli,2017.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
19,Thiago Libório Romanelli,2018.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
20,Thiago Libório Romanelli,2019.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
